zone,datetime,value,unit,source
NL,2026-09-06T02:00:00.000Z,144.6,EUR/MWh,nordpool.com
NL,2026-09-06T03:00:00.000Z,144.58,EUR/MWh,nordpool.com
NL,2026-09-06T04:00:00.000Z,145.54,EUR/MWh,nordpool.com
NL,2026-09-06T05:00:00.000Z,134.07,EUR/MWh,nordpool.com
NL,2026-09-06T06:00:00.000Z,110.87,EUR/MWh,nordpool.com
NL,2026-09-06T07:00:00.000Z,39.67,EUR/MWh,nordpool.com
NL,2026-09-06T08:00:00.000Z,0.58,EUR/MWh,nordpool.com
NL,2026-09-06T09:00:00.000Z,-0.08,EUR/MWh,nordpool.com
NL,2026-09-06T10:00:00.000Z,-2.54,EUR/MWh,nordpool.com
NL,2026-09-06T11:00:00.000Z,-3.73,EUR/MWh,nordpool.com
NL,2026-09-06T12:00:00.000Z,-1.3,EUR/MWh,nordpool.com
NL,2026-09-06T13:00:00.000Z,0,EUR/MWh,nordpool.com
NL,2026-09-06T14:00:00.000Z,19.95,EUR/MWh,nordpool.com
NL,2026-09-06T15:00:00.000Z,122.42,EUR/MWh,nordpool.com
PL,2026-09-05T15:00:00.000Z,77.33,EUR/MWh,nordpool.com
PL,2026-09-05T16:00:00.000Z,102.39,EUR/MWh,nordpool.com
PL,2026-09-05T17:00:00.000Z,129.59,EUR/MWh,nordpool.com
PL,2026-09-05T18:00:00.000Z,128.48,EUR/MWh,nordpool.com
PL,2026-09-05T19:00:00.000Z,117.35,EUR/MWh,nordpool.com
PL,2026-09-05T20:00:00.000Z,110.35,EUR/MWh,nordpool.com
PL,2026-09-05T21:00:00.000Z,106.03,EUR/MWh,nordpool.com
PL,2026-09-05T22:00:00.000Z,124.75,EUR/MWh,nordpool.com
PL,2026-09-05T23:00:00.000Z,119.1,EUR/MWh,nordpool.com
PL,2026-09-06T00:00:00.000Z,115.4,EUR/MWh,nordpool.com
PL,2026-09-06T01:00:00.000Z,112.78,EUR/MWh,nordpool.com
PL,2026-09-06T02:00:00.000Z,117.24,EUR/MWh,nordpool.com
PL,2026-09-06T03:00:00.000Z,115.86,EUR/MWh,nordpool.com
PL,2026-09-06T04:00:00.000Z,115.15,EUR/MWh,nordpool.com
PL,2026-09-06T05:00:00.000Z,122.53,EUR/MWh,nordpool.com
PL,2026-09-06T06:00:00.000Z,81.79,EUR/MWh,nordpool.com
PL,2026-09-06T07:00:00.000Z,19.09,EUR/MWh,nordpool.com
PL,2026-09-06T08:00:00.000Z,0.28,EUR/MWh,nordpool.com
PL,2026-09-06T09:00:00.000Z,-0.03,EUR/MWh,nordpool.com
PL,2026-09-06T10:00:00.000Z,-1.08,EUR/MWh,nordpool.com
PL,2026-09-06T11:00:00.000Z,-1.54,EUR/MWh,nordpool.com
PL,2026-09-06T12:00:00.000Z,-0.61,EUR/MWh,nordpool.com
PL,2026-09-06T13:00:00.000Z,0,EUR/MWh,nordpool.com
PL,2026-09-06T14:00:00.000Z,19.95,EUR/MWh,nordpool.com
PL,2026-09-06T15:00:00.000Z,121.71,EUR/MWh,nordpool.com
IT-NO,2026-09-05T15:00:00.000Z,174.49,EUR/MWh,entsoe.eu
IT-NO,2026-09-05T16:00:00.000Z,245,EUR/MWh,entsoe.eu
IT-NO,2026-09-05T17:00:00.000Z,272.3,EUR/MWh,entsoe.eu
IT-NO,2026-09-05T18:00:00.000Z,271.29,EUR/MWh,entsoe.eu
IT-NO,2026-09-05T19:00:00.000Z,213.97,EUR/MWh,entsoe.eu
IT-NO,2026-09-05T20:00:00.000Z,208.37,EUR/MWh,entsoe.eu
IT-NO,2026-09-05T21:00:00.000Z,188.02,EUR/MWh,entsoe.eu
IT-NO,2026-09-05T22:00:00.000Z,210.46,EUR/MWh,entsoe.eu
IT-NO,2026-09-05T23:00:00.000Z,220.23,EUR/MWh,entsoe.eu
IT-NO,2026-09-06T00:00:00.000Z,200.93,EUR/MWh,entsoe.eu
IT-NO,2026-09-06T01:00:00.000Z,188.85,EUR/MWh,entsoe.eu
IT-NO,2026-09-06T02:00:00.000Z,199.01,EUR/MWh,entsoe.eu
IT-NO,2026-09-06T03:00:00.000Z,197.28,EUR/MWh,entsoe.eu
IT-NO,2026-09-06T04:00:00.000Z,194.72,EUR/MWh,entsoe.eu
IT-NO,2026-09-06T05:00:00.000Z,181.36,EUR/MWh,entsoe.eu
IT-NO,2026-09-06T06:00:00.000Z,195,EUR/MWh,entsoe.eu
IT-NO,2026-09-06T07:00:00.000Z,172.89,EUR/MWh,entsoe.eu
IT-NO,2026-09-06T08:00:00.000Z,150.1,EUR/MWh,entsoe.eu
IT-NO,2026-09-06T09:00:00.000Z,141.13,EUR/MWh,entsoe.eu
IT-NO,2026-09-06T10:00:00.000Z,147.35,EUR/MWh,entsoe.eu
IT-NO,2026-09-06T11:00:00.000Z,136.42,EUR/MWh,entsoe.eu
IT-NO,2026-09-06T12:00:00.000Z,150.1,EUR/MWh,entsoe.eu
IT-NO,2026-09-06T13:00:00.000Z,150.1,EUR/MWh,entsoe.eu
IT-NO,2026-09-06T14:00:00.000Z,180,EUR/MWh,entsoe.eu
IT-NO,2026-09-06T15:00:00.000Z,219.09,EUR/MWh,entsoe.eu
