zone,datetime,carbonIntensity,type
GB,2026-09-05T11:00:00.000Z,118,history
GB,2026-09-05T12:00:00.000Z,117,history
GB,2026-09-05T13:00:00.000Z,121,history
GB,2026-09-05T14:00:00.000Z,126,history
GB,2026-09-05T14:00:00.000Z,107,forecast
GB,2026-09-05T15:00:00.000Z,124,forecast
GB,2026-09-05T16:00:00.000Z,182,forecast
GB,2026-09-05T17:00:00.000Z,214,forecast
GB,2026-09-05T18:00:00.000Z,233,forecast
GB,2026-09-05T19:00:00.000Z,234,forecast
GB,2026-09-05T20:00:00.000Z,227,forecast
GB,2026-09-05T21:00:00.000Z,224,forecast
GB,2026-09-05T22:00:00.000Z,209,forecast
GB,2026-09-05T23:00:00.000Z,164,forecast
GB,2026-09-06T00:00:00.000Z,155,forecast
GB,2026-09-06T01:00:00.000Z,142,forecast
GB,2026-09-06T02:00:00.000Z,139,forecast
GB,2026-09-06T03:00:00.000Z,138,forecast
GB,2026-09-06T04:00:00.000Z,139,forecast
GB,2026-09-06T05:00:00.000Z,142,forecast
GB,2026-09-06T06:00:00.000Z,132,forecast
GB,2026-09-06T07:00:00.000Z,123,forecast
GB,2026-09-06T08:00:00.000Z,116,forecast
GB,2026-09-06T09:00:00.000Z,106,forecast
GB,2026-09-06T10:00:00.000Z,99,forecast
GB,2026-09-06T11:00:00.000Z,94,forecast
GB,2026-09-06T12:00:00.000Z,93,forecast
GB,2026-09-06T13:00:00.000Z,93,forecast
GB,2026-09-06T14:00:00.000Z,95,forecast
IT-NO,2026-09-04T15:00:00.000Z,295,history
IT-NO,2026-09-04T16:00:00.000Z,314,history
IT-NO,2026-09-04T17:00:00.000Z,314,history
IT-NO,2026-09-04T18:00:00.000Z,310,history
IT-NO,2026-09-04T19:00:00.000Z,306,history
IT-NO,2026-09-04T20:00:00.000Z,313,history
IT-NO,2026-09-04T21:00:00.000Z,328,history
IT-NO,2026-09-04T22:00:00.000Z,293,history
IT-NO,2026-09-04T23:00:00.000Z,287,history
IT-NO,2026-09-05T00:00:00.000Z,293,history
IT-NO,2026-09-05T01:00:00.000Z,292,history
IT-NO,2026-09-05T02:00:00.000Z,294,history
IT-NO,2026-09-05T03:00:00.000Z,287,history
IT-NO,2026-09-05T04:00:00.000Z,269,history
IT-NO,2026-09-05T05:00:00.000Z,262,history
IT-NO,2026-09-05T06:00:00.000Z,224,history
IT-NO,2026-09-05T07:00:00.000Z,181,history
IT-NO,2026-09-05T08:00:00.000Z,156,history
IT-NO,2026-09-05T09:00:00.000Z,118,history
IT-NO,2026-09-05T10:00:00.000Z,114,history
IT-NO,2026-09-05T11:00:00.000Z,113,history
IT-NO,2026-09-05T12:00:00.000Z,119,history
IT-NO,2026-09-05T13:00:00.000Z,135,history
IT-NO,2026-09-05T14:00:00.000Z,168,history
IT-NO,2026-09-05T14:00:00.000Z,198,forecast
IT-NO,2026-09-05T15:00:00.000Z,242,forecast
IT-NO,2026-09-05T16:00:00.000Z,272,forecast
IT-NO,2026-09-05T17:00:00.000Z,279,forecast
IT-NO,2026-09-05T18:00:00.000Z,280,forecast
IT-NO,2026-09-05T19:00:00.000Z,281,forecast
IT-NO,2026-09-05T20:00:00.000Z,288,forecast
IT-NO,2026-09-05T21:00:00.000Z,299,forecast
IT-NO,2026-09-05T22:00:00.000Z,267,forecast
IT-NO,2026-09-05T23:00:00.000Z,259,forecast
IT-NO,2026-09-06T00:00:00.000Z,261,forecast
IT-NO,2026-09-06T01:00:00.000Z,262,forecast
IT-NO,2026-09-06T02:00:00.000Z,263,forecast
IT-NO,2026-09-06T03:00:00.000Z,264,forecast
IT-NO,2026-09-06T04:00:00.000Z,263,forecast
IT-NO,2026-09-06T05:00:00.000Z,241,forecast
IT-NO,2026-09-06T06:00:00.000Z,203,forecast
IT-NO,2026-09-06T07:00:00.000Z,169,forecast
IT-NO,2026-09-06T08:00:00.000Z,149,forecast
IT-NO,2026-09-06T09:00:00.000Z,132,forecast
IT-NO,2026-09-06T10:00:00.000Z,131,forecast
IT-NO,2026-09-06T11:00:00.000Z,129,forecast
IT-NO,2026-09-06T12:00:00.000Z,135,forecast
IT-NO,2026-09-06T13:00:00.000Z,150,forecast
IT-NO,2026-09-06T14:00:00.000Z,172,forecast
US-MIDA-PJM,2026-09-04T15:00:00.000Z,444,history
US-MIDA-PJM,2026-09-04T16:00:00.000Z,445,history
US-MIDA-PJM,2026-09-04T17:00:00.000Z,447,history
US-MIDA-PJM,2026-09-04T18:00:00.000Z,447,history
US-MIDA-PJM,2026-09-04T19:00:00.000Z,444,history
US-MIDA-PJM,2026-09-04T20:00:00.000Z,441,history
US-MIDA-PJM,2026-09-04T21:00:00.000Z,443,history
US-MIDA-PJM,2026-09-04T22:00:00.000Z,456,history
US-MIDA-PJM,2026-09-04T23:00:00.000Z,465,history
US-MIDA-PJM,2026-09-05T00:00:00.000Z,473,history
US-MIDA-PJM,2026-09-05T01:00:00.000Z,473,history
US-MIDA-PJM,2026-09-05T02:00:00.000Z,506,history
US-MIDA-PJM,2026-09-05T03:00:00.000Z,497,history
US-MIDA-PJM,2026-09-05T04:00:00.000Z,498,history
US-MIDA-PJM,2026-09-05T05:00:00.000Z,493,history
US-MIDA-PJM,2026-09-05T06:00:00.000Z,488,history
US-MIDA-PJM,2026-09-05T07:00:00.000Z,475,history
US-MIDA-PJM,2026-09-05T08:00:00.000Z,466,history
US-MIDA-PJM,2026-09-05T09:00:00.000Z,460,history
US-MIDA-PJM,2026-09-05T10:00:00.000Z,463,history
US-MIDA-PJM,2026-09-05T11:00:00.000Z,468,history
US-MIDA-PJM,2026-09-05T12:00:00.000Z,452,history
US-MIDA-PJM,2026-09-05T13:00:00.000Z,452,history
US-MIDA-PJM,2026-09-05T14:00:00.000Z,408,history
US-MIDA-PJM,2026-09-05T14:00:00.000Z,408,forecast
US-MIDA-PJM,2026-09-05T15:00:00.000Z,413,forecast
US-MIDA-PJM,2026-09-05T16:00:00.000Z,418,forecast
US-MIDA-PJM,2026-09-05T17:00:00.000Z,417,forecast
US-MIDA-PJM,2026-09-05T18:00:00.000Z,417,forecast
US-MIDA-PJM,2026-09-05T19:00:00.000Z,412,forecast
US-MIDA-PJM,2026-09-05T20:00:00.000Z,416,forecast
US-MIDA-PJM,2026-09-05T21:00:00.000Z,421,forecast
US-MIDA-PJM,2026-09-05T22:00:00.000Z,448,forecast
US-MIDA-PJM,2026-09-05T23:00:00.000Z,453,forecast
US-MIDA-PJM,2026-09-06T00:00:00.000Z,453,forecast
US-MIDA-PJM,2026-09-06T01:00:00.000Z,439,forecast
US-MIDA-PJM,2026-09-06T02:00:00.000Z,451,forecast
US-MIDA-PJM,2026-09-06T03:00:00.000Z,448,forecast
US-MIDA-PJM,2026-09-06T04:00:00.000Z,440,forecast
US-MIDA-PJM,2026-09-06T05:00:00.000Z,437,forecast
US-MIDA-PJM,2026-09-06T06:00:00.000Z,431,forecast
US-MIDA-PJM,2026-09-06T07:00:00.000Z,422,forecast
US-MIDA-PJM,2026-09-06T08:00:00.000Z,418,forecast
US-MIDA-PJM,2026-09-06T09:00:00.000Z,417,forecast
US-MIDA-PJM,2026-09-06T10:00:00.000Z,428,forecast
US-MIDA-PJM,2026-09-06T11:00:00.000Z,424,forecast
US-MIDA-PJM,2026-09-06T12:00:00.000Z,411,forecast
US-MIDA-PJM,2026-09-06T13:00:00.000Z,405,forecast
US-MIDA-PJM,2026-09-06T14:00:00.000Z,396,forecast
AU-NSW,2026-09-04T15:00:00.000Z,559,history
AU-NSW,2026-09-04T16:00:00.000Z,554,history
AU-NSW,2026-09-04T17:00:00.000Z,545,history
AU-NSW,2026-09-04T18:00:00.000Z,531,history
AU-NSW,2026-09-04T19:00:00.000Z,530,history
AU-NSW,2026-09-04T20:00:00.000Z,526,history
AU-NSW,2026-09-04T21:00:00.000Z,416,history
AU-NSW,2026-09-04T22:00:00.000Z,296,history
