zone,datetime,value,unit,source,temporalGranularity
DK-DK1,2026-09-06T14:00:00.000Z,0.12,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T14:15:00.000Z,1.99,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T14:30:00.000Z,20,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T14:45:00.000Z,57.83,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T15:15:00.000Z,3.11,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T15:30:00.000Z,3.92,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T15:45:00.000Z,4.92,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T16:00:00.000Z,4.99,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T16:15:00.000Z,15.55,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T16:30:00.000Z,21.36,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T16:45:00.000Z,44.53,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T17:00:00.000Z,58.94,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T17:15:00.000Z,75.96,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T17:30:00.000Z,73.84,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T17:45:00.000Z,75.85,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T18:00:00.000Z,88.61,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T18:15:00.000Z,88.32,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T18:30:00.000Z,88.89,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T18:45:00.000Z,86.83,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T19:00:00.000Z,80.67,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T19:15:00.000Z,80.04,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T19:30:00.000Z,76.43,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T19:45:00.000Z,77.68,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T20:00:00.000Z,83.26,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T20:15:00.000Z,80.84,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T20:30:00.000Z,77.82,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T20:45:00.000Z,75.76,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T21:00:00.000Z,72.44,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T21:15:00.000Z,74.43,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T21:30:00.000Z,75.78,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T21:45:00.000Z,75.99,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T22:00:00.000Z,99.72,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T22:15:00.000Z,99.46,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T22:30:00.000Z,95.2,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T22:45:00.000Z,79.78,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T23:00:00.000Z,90.82,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T23:15:00.000Z,81.92,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T23:30:00.000Z,80.65,EUR/MWh,nordpool.com,
DK-DK2,2026-09-05T23:45:00.000Z,80.03,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T00:00:00.000Z,83.78,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T00:15:00.000Z,86,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T00:30:00.000Z,88.94,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T00:45:00.000Z,90.09,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T01:00:00.000Z,95.47,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T01:15:00.000Z,96.29,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T01:30:00.000Z,99.01,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T01:45:00.000Z,100.81,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T02:00:00.000Z,112.81,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T02:15:00.000Z,113.58,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T02:30:00.000Z,116.94,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T02:45:00.000Z,117.13,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T03:00:00.000Z,128.68,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T03:15:00.000Z,129.56,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T03:30:00.000Z,141.31,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T03:45:00.000Z,139.8,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T04:00:00.000Z,137.7,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T04:15:00.000Z,138.88,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T04:30:00.000Z,140.65,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T04:45:00.000Z,138.23,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T05:00:00.000Z,140.61,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T05:15:00.000Z,135.2,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T05:30:00.000Z,127.41,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T05:45:00.000Z,117.76,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T06:00:00.000Z,135.19,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T06:15:00.000Z,119.45,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T06:30:00.000Z,91.29,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T06:45:00.000Z,69.93,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T07:00:00.000Z,76.53,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T07:15:00.000Z,50.68,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T07:30:00.000Z,9.36,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T07:45:00.000Z,7,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T08:00:00.000Z,4.38,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T08:15:00.000Z,2.16,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T08:30:00.000Z,1.34,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T08:45:00.000Z,0.21,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T09:00:00.000Z,1.01,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T09:15:00.000Z,0.12,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T09:30:00.000Z,0.11,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T09:45:00.000Z,0.11,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T10:00:00.000Z,0.19,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T10:15:00.000Z,1.06,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T10:30:00.000Z,1.34,EUR/MWh,nordpool.com,
